rank,task_description,usage_count,usage_pct
71,Build and test conversational AI systems and chatbots,2790.0,0.3756
72,"Provide mental health, behavioral health, and ADHD support resources",2622.0,0.353
73,Assist with advanced academic research and professional technical projects,2590.0,0.3487
74,"Resolve payment, billing, subscription, and account access issues",2476.0,0.3333
75,Extract and structure data from multiple sources into organized formats,2422.0,0.3261
76,Help with programming fundamentals including regex and data structures,2407.0,0.324
77,"Assist with cybersecurity, data privacy compliance, and network security configuration",2327.0,0.3133
78,Provide tax information and business regulatory compliance information,2240.0,0.3016
79,Draft and refine graduate school and academic job application materials,1971.0,0.2653
80,Research real estate properties and locations for relocation or investment,1625.0,0.2188
81,Analyze business data and generate forecasting reports and insights,1517.0,0.2042
82,Build recruitment software and resume processing systems,1494.0,0.2011
83,"Help with robotics programming, control systems, and academic work",1492.0,0.2009
84,Develop and use AI systems for tax document processing and consultation,1466.0,0.1974
85,"Create software tests, test coverage, and testing documentation",1454.0,0.1957
86,"Help with physics education, problems, and theory across mechanics and cosmology",1449.0,0.1951
87,Diagnose and troubleshoot database performance and connectivity issues,1284.0,0.1729
88,Build and manage subscription billing and membership systems,1204.0,0.1621
89,Analyze and extract structured data from cryptocurrency social media and news content,1160.0,0.1562
90,Predict future sports outcomes and process sports content,1088.0,0.1465
91,"Provide advice and information about pet health, behavior, and care",1062.0,0.143
92,Help with computer vision and object detection model development,896.0,0.1206
93,Respond to peer reviewers and revise manuscripts for journal submission,883.0,0.1189
94,Debug and fix automated cryptocurrency and forex trading bot systems,791.0,0.1065
95,Configure and troubleshoot smart home automation and IoT devices,779.0,0.1049
96,Debug and fix machine learning and AI system errors,774.0,0.1042
97,"Provide information about sports schedules, results, broadcasts, and recent winners",702.0,0.0945
98,Get technical help deploying and running large language models locally or via APIs,665.0,0.0895
99,Debug and modify scientific computing simulation code in physics and engineering,579.0,0.0779
100,"Develop and debug blockchain applications, smart contracts, and cryptocurrency infrastructure",543.0,0.0731
101,"Help detect fraud, investigate scams, and analyze deception",512.0,0.0689
102,Assist with quantum mechanics and quantum computing topics,249.0,0.0335
103,"Provide current soccer standings, predictions, transfers, and live match information",62.0,0.0083
